"Ita Seejiq ga tru ta dntulan kari, kiya ka Toda, Truku ni Tgdaya.","我們賽德克族擁有三個方言群，即都達、德路固及德固達雅等方言群。","https://web.klokah.tw/text/sound/25929/428544.mp3"
"Ltu hari do tduwa mwamun isux uxay kiya o mwamun taku siyaw supih sqdal tnsapah.","稍微冷卻後，再以木杓或是湯匙鋪薄在鍋緣上供家人食用，","https://web.klokah.tw/text/sound/25940/428673.mp3"
"Peekan siida, asi ka pdaan kari rudan kiya ka tduwa mkan ka tnsapah.","要吃得當下必須經過長輩的許可家人才能動手吃飯。","https://web.klokah.tw/text/sound/25940/428674.mp3"
"Rahuq na do tduwa hlmaun ni shapuy idaw kama uqun uri.","除此之外，還可以蒸煮成糯米飯與乾飯來吃。","https://web.klokah.tw/text/sound/25940/428675.mp3"
"O nasi ungac ka masu suyaw do ida mkan bunga da, ini ksa mqrinuc ka sbiyaw.","要是沒有了粟就換吃地瓜，從來不以此為苦。","https://web.klokah.tw/text/sound/25940/428676.mp3"
"Nasi saw bunga, sari ni tarux, baun dnii pnegalang o shapuy dha libaw kiya, asi ka snagun han ni kiya ka tduwa shapuy.","如果烹煮地瓜、芋頭和芋莖及南瓜等，就必須經沖洗才下鍋煮。","https://web.klokah.tw/text/sound/25940/428677.mp3"
"Rahuq na do niqan egu bi klgan ka uqun seejiq alang sbiyaw, saw ka muduh qutun, psiyuk. Qmiluq bulang bnghur, bulang srjing, bulang kradaw, bulang bgiya dnii. Ini ekan dqpatur ni dquyu han.","除此之外，過去的部落族人，還有多種副食品喔！譬如：燒烤蚱蜢和蟋蟀，生吃各種蜂蛹（虎頭蜂等），就是不吃蛙類與蛇類。","https://web.klokah.tw/text/sound/25940/428678.mp3"
"Nasi mhanguc saw rqnux, miric, bowyak nii ga asi ka rhqun ka rhiq dha.","如果烹煮獸肉，如鹿、山羊和熊，必須先剝皮。","https://web.klokah.tw/text/sound/25940/428679.mp3"
"Bowyak o srubun ka ubal na han, muyak ngalan ka baraq na, hliqun ka spac papak na, kmciway kmruc hngdun qsiya ruwan libaw.","山豬則整隻先以火烤其毛皮，剖腹取其腸子後再撕開其四肢，","https://web.klokah.tw/text/sound/25940/428680.mp3"
"Mnhada do rmasun dha pniq babaw pluhan, saraw, rawa, sntmuwan ciway cimu uqun, mahun ka bgu niya.","肉連骨頭切成小塊以水烹煮，煮熟後再把肉骨撈起，放置於籮篩等容器上並撒些鹽巴就可以食用了，並喝下其肉湯。","https://web.klokah.tw/text/sound/25940/428681.mp3"
"Seuxal hano uqun ka qraqil drqnux, miric uri han, sayang do yasa niqan bi ririh na ni ini uqi da, sbbarig dha eseisil seejiq ni pryuxun dha kingal nanaq qyqaya djiyun.","從前也食用鹿、山羊的皮革，而今因為獸皮具有其他的用途，可以拿來交易換取其他更有用的物品，","https://web.klokah.tw/text/sound/25940/428682.mp3"
"Duri ni mmusa i maduk lmiqu sbiyaw siida ka dsnaw o sduun dha puniq kana ka mnangal dha samac,","所以不再食用了。其次，狩獵時期在山上一律使用烤食，","https://web.klokah.tw/text/sound/25940/428683.mp3"
"nasi niqan ka cimu o dmatun dha cimu mkan, nasi ungac ka cimu o asi dha skani mkan da.","有鹽巴則灑鹽食用，無則不調味直接食用。","https://web.klokah.tw/text/sound/25940/428684.mp3"
"Seuxal balay han o Seejiq balay ksun ga, wasaw qhuni ka lnkusan rdrudan alang, dsnaw o mlukus wasaw qhuni ni bkiyun dha gasil qwarux tqriyun dha hginuk.","從前賽德克族人以樹葉來遮蔽身體重要部位，男性穿著用樹葉編成方形葉面，並以葛藤環繞腰間吊掛遮蔽；","https://web.klokah.tw/text/sound/25941/428685.mp3"
"Dqrijil o mangal wasaw qhuni uri bungun dha shmaan. Maka bukuy do mlukus tmninun waray nuqih “pala pungu” da.","女性則以樹葉掩蔽私處。後來才取用苧麻線編織布匹，製成傳統服飾的。","https://web.klokah.tw/text/sound/25941/428686.mp3"
"Lukus rudan sbiyaw ga pnaah pala paru, pala pungu kana, tmninun nanaq dqrijil balay tnsapah. Msa ka kari rdrudan sbiyaw “Niqan ka kingal utux miisug bi embanah rakaw, kiya ni rbgun dha embanah rakaw ka waray nuqih scinun dha pala sluun lukus, kiya ka ini yahi qmraq dutux msa.”","賽德克族的傳統衣服布料以麻布為主，是家中女性編織而成的。傳說，有一種utux（靈）最怕紅色，所以我們才把苧麻線染成紅色，用來避邪。","https://web.klokah.tw/text/sound/25941/428687.mp3"
"Lukus rudan sbiyaw ga, brah o tlluus bi qtaan, bukuy o ini ktna brah kida, tnunan “pacing dowriq” kana ka hiya,","我們的服飾，正面很樸素，背面布滿了pacang dowriq（眼睛；菱形紋），","https://web.klokah.tw/text/sound/25941/428688.mp3"
"ririh saw “dowriq rudan”, lkusaun hiyi ga saw bi gaga qlhangan Utux rudan sblaiq bi kndusan na babaw dxgal.","代表「祖靈的眼睛」，穿在身上，就多了保護。","https://web.klokah.tw/text/sound/25941/428689.mp3"
"Lnkusan rdrudan sbiyaw ga niqan dha klgan, kingal o lkusun dha kjiyax, kingal o lkusun dha jiyax smiyan.","從前祖先的穿著，他們大致分為兩類：一類是平時穿的服飾；一類是參加重要節日時要穿的盛裝用。","https://web.klokah.tw/text/sound/25941/428690.mp3"
"Lukus dqrijil o niqan bdagic, litan, limu buli, psili, kmabuh pala, tura, kjiwan.","女性衣服有護腿、上衣、腰布、單件式腰布、披肩用布、胸兜及女用袋","https://web.klokah.tw/text/sound/25941/428691.mp3"
"Lukus dsnaw o niqan lkusun jiyax smiyan na waha ni tdsaan, niqan ka lukus balay ni lukus empusu uri, dungan niqan ka lukus pusan uri mririh saw mmrisaw dnii klgan.","男性衣服有盛裝用的無袖與有袖上衣，還有平時穿的無袖與有袖上衣，還有象徵成年男性穿的毛線織袖，","https://web.klokah.tw/text/sound/25941/428692.mp3"
"Niqan ka habuk uri qriun hginuk. Ita Seejiq ga niqan ka pala paru, pala pungu o pala cikuh ni pala pniri, pala skikus uri asi dha lkusi hiyi kida.","還有平時穿的無袖與有袖上衣，還有象徵成年男性穿的毛線織袖，還有腰帶環繞腰間。我們賽德克族還有大型、中型、小型布匹披在身上。","https://web.klokah.tw/text/sound/25941/428693.mp3"
"Niqan ka qyqaya hiyi uri, prnaun skmalu qtaan lukus lnkusan, saw ka batur, briku, marung, rikuh, qalux biyu, giji ni mudun dnii, pniyah ida nkiya knkilan ka dnii.","還有身上的裝飾品，它讓穿在身上的衣服看起來更相得益彰，譬如：角製耳環、貝製耳環、瓷製項鍊、貝製項鍊、黑色琉璃珠項鍊、貝製頭飾及手鐲等等，這些都取自於自然產物。","https://web.klokah.tw/text/sound/25941/428694.mp3"
"Alang Seejiq seuxal, gaga dgiyaq kana, qqhuni kana ka siyaw na.","賽德克族人的部落都位居山上，四周盡是樹林。","https://web.klokah.tw/text/sound/25942/428695.mp3"
"Nniqan sapah Seejiq ga egu bi klgan, niqan ka sapaha smnalu qhuni, niqan ka sapah snalu djima, niqan ka sapah snalu btunux uri.","因此家屋的型式、房屋構造亦呈現多樣化，有木造屋、竹造屋，還有石造屋等等。","https://web.klokah.tw/text/sound/25942/428696.mp3"
"Qyqaya pnhyugan sapah o lmlamu klgan, ida pniyah siyaw na kana.","住屋的建築材料種類繁多，都是取材於四周環境。","https://web.klokah.tw/text/sound/25942/428697.mp3"
"Manu ka Seejiq / Seediq / Sedjiq ksun ga niqan tru klgan ka hnang kari nii, kiya ka kari Truku, kari Tgdaya ni kari Toda ksn.","賽德克族群有三種語群（Truku、Toda、Tgdaya），","https://web.klokah.tw/text/sound/25942/428698.mp3"
"Ida mtna ka kndsan han. Balay bi o mniq baraw hari Seejiq / Seediq / Sedjiq o qqhuni ka salu dha sapah, mniq truma hari o ddjima ka salu dha nniqan sapah.","因位居不同地方，所以在語言上的腔調有些不同，但風俗、習慣皆相同，","https://web.klokah.tw/text/sound/25942/428699.mp3"
"Duma na hiya gmaxun dha ka qqhuni ni bbtunux shiyug sapah.","大致上來說，居住在較高山區的社群以木造為主，","https://web.klokah.tw/text/sound/25942/428700.mp3"
"Pusu balay o nasi qmuyux, ini sli qsiya, smbu paru hidaw o ini kcilux nniqan uri.","主要的功能是排水良好、冬暖夏涼","https://web.klokah.tw/text/sound/25942/428701.mp3"
"Nasi miyax mrmux kealang ka esisil seejiq o ini lxan mqriqu yahan smbuc.","對敵人防易攻難","https://web.klokah.tw/text/sound/25942/428702.mp3"
"DSeejiq Truku, DSeediq Tgdaya, DSediq Toda tru nii ga niqan nanaq cikuh ini hari ktna dha uri, ida malu bi.","各自有其在地文化的特色。","https://web.klokah.tw/text/sound/25942/428703.mp3"
"Sbiyaw han o siyaw nniqan alang, qnpahan ni upan lmiqu ga niqan ka Tayal, Bunun uri. Dhiya niqan nanaq Gaya dha uri, saw ka Tayal o “Gaga” msa, Bunun o “Samu” msa,","從過去，我們居住、耕作地、獵場等等的四周，有泰雅族、布農族。他們有自己的祖先的遺訓，如泰雅族的Wawa、布農族的Samu，","https://web.klokah.tw/text/sound/25942/428704.mp3"
"ida niqan nanaq elug dha pslutuc kndsan, ini ta bi knhmuc mseeluk uxay ndhiya nanaq.","都有自己風俗文化在維繫他們民族的命脈，謹守祖先的遺訓，絕對不會隨意搶奪非所屬的一切。","https://web.klokah.tw/text/sound/25942/429184.mp3"
"Ida ta mtna ka mhuma masu, bunga, sunguc dnii.","我們也有相同的生存模式，如種植小米、地瓜、樹豆等等，","https://web.klokah.tw/text/sound/25942/429185.mp3"
"Niqan nanaq lupan dha lmiqu uri saan dha tmsamac samac.","各自也有獵場。","https://web.klokah.tw/text/sound/25942/429186.mp3"
"Ita ni Tayal ga wada egu hari ka mtna ta euda, saw ka ptasan dqras, mstrung, tminun pala pungu, tminun rawa ni brunguy dnii.","而我們跟泰雅族有更多相同的文化，如紋面、織布與編籃、背簍文化等……，","https://web.klokah.tw/text/sound/25942/429187.mp3"
"Kiya ni kmlawa Taywan siida ka Tanah Tunux ga spuan dha Tayal ka Seejiq. Yasa ada ka egu bi ini ktna ka kari,","所以賽德克族在日治時代是被歸屬於泰雅族的族群，由於語言上有很多差異，","https://web.klokah.tw/text/sound/25942/429188.mp3"
"kiya ni mnuda embiyax meysa hangan ka Seejiq balay do, qulung mangal “Seejiq / Seediq / Sejiq” ka hangan da. Sayang dga Bunun ni “Seejiq / Seediq / Sejiq” ksun o msdangi bi dhuq sayang,","在族人努力下終於在2008年4月23日正名成功。而布農族一直是我們賽德克族的好朋友，","https://web.klokah.tw/text/sound/25942/429189.mp3"
"mpsparu bi qmita ini ktna na knkla kndusan, wada egu bi ka mstrung ka mbiyax rrisaw ni wauwa uri da.","始終彼此尊重各自的文化，現今有很多通婚的現象。","https://web.klokah.tw/text/sound/25942/429190.mp3"
"Sayang do tnhjilan Tanah Tunux mniq bgurah alang ka “Seejiq / Seediq / Sejiq” da, ini saw seuxal ka kndusan sayang da.","現今賽德克族都被日本政府遷移到新的村落了，生活不再過從前的生活了。","https://web.klokah.tw/text/sound/25942/429191.mp3"
"Yasa niqan ttgsa sapah pyasan, ida wada mgimax mseupu kana ka knkla rdrudan sbiyaw.","由於學校教育，許多族群觀念已經混合的差不多了。","https://web.klokah.tw/text/sound/25942/429192.mp3"
"Ana nanaq saw kiya o tduwa ta msdangi ni msblaiq ka tnsapah ni knlang do malu uri da.","雖然如此，我們能夠彼此尊重，生活平安、喜樂，就可以了。","https://web.klokah.tw/text/sound/25942/429193.mp3"
"Sbiyaw han ga ungac ka sapah pyasan ksun, wana nanaq ttgsa tnsapah, ttgsa tnealang dnii.","從前沒有所謂的學校，只有家族教育、部落（社會）教育。","https://web.klokah.tw/text/sound/25943/428715.mp3"
"Sayang do niqan ka pyasan prajing, pyasan tgciway, pyasan tgska, pyasan tgbaraw, pyasan paru, pyasan qmquri knkla dnii. Prngaw ta cikuh quri ttgsa sbiyaw.","而今有幼兒園、國小、國中、高中、大學及研究所等等。讓我們來談談有關過去的教育方式。","https://web.klokah.tw/text/sound/25943/428716.mp3"
"Seejiq ksun ga tmgsa laqi rabu o ini asug saw dqrijil ni dsnaw, prajing meuyas pyasan tgciway do skenaqun ka laqi dqrijil ni dsnaw.","族人在教育嬰兒期並無性別之分，幼兒期為辨別是男或是女就開始分男女兩性，","https://web.klokah.tw/text/sound/25943/428717.mp3"
"Dhuq meuyas pyasan tgska ni pyasan tgbaraw do mpshrmadan dni prajing smluhay euda quri kddusun da.","直至青年期男女才相互忌諱（psrhrmadan），並開始學習生活技能，","https://web.klokah.tw/text/sound/25943/428718.mp3"
"Saw ka dsnaw o teumal musa mppais, maduk lmiqu ni mgbgurah qnpahan ni phiyug sapah.","男子參與出草、狩獵隊伍、及開墾、建屋，","https://web.klokah.tw/text/sound/25943/428719.mp3"
"Dqrijil o teumal meuda qqpahun ruwan sapah, phuma ni tminun qpahun dnii.","女子參與家事、農耕、及紡織工作。","https://web.klokah.tw/text/sound/25943/428720.mp3"
"Klaun dsnaw ni dqrjil kana do tdwaun btasun ka dqras dha da, kika yahun dha psramal smrai da.","男子學會出草、狩獵戰事後即接受文面的榮耀；而女子學會紡織技術後，始接受文面，方進入待嫁期。","https://web.klokah.tw/text/sound/25943/428721.mp3"
"Mstrung ka wauwa ni rrisaw do kiya ka mseejiq balay da, niqan laqi dha ni mduuy laqi do thnganan “tama ni bubu” da.","男女結婚後，進入了成年期，俟兒女結婚有子，抱了孫子，始被稱tama、bubu。","https://web.klokah.tw/text/sound/25943/428722.mp3"
"Dhuq mataru, empitu kmxalan do thnganan bubu rudan ni tama rudan da, ida smparu bi qmita rdrudan ka Seejiq.","六、七十歲時，被稱為Baki、Payi，老人們普遍受到族人的尊崇。","https://web.klokah.tw/text/sound/25943/428723.mp3"
"Rabu siida ka laqi ga kana ka tama ni bubu o ksugun dha balay “ ini kmunuh ka laqi rabu”, yasa pnluban dnkilan dha ka saw nii.","父母最擔心的是嬰孩拒餵奶與生病，因而易使嬰兒身體虛弱。","https://web.klokah.tw/text/sound/25943/428724.mp3"
"Seejiq qa hniyan dha niqan bgihur utux ka gaga ruwan qbubur niya.","族人認為這是utux作祟，","https://web.klokah.tw/text/sound/25943/428725.mp3"
"Kiya ni mGaya bi ni msapuh iyux pqdriqun paah hiyi laqi rabu ka utux naqih, skbiyax hiyi na ni musa mbiyax munuh unuh bubu da.","為驅惡utux傷害嬰孩，避免生病或拒餵，必遵守gaya賜予的禁忌。","https://web.klokah.tw/text/sound/25943/428726.mp3"
"Kana ka quri euda mdanga lqlaqi ga ida bubu kana, yabi empitu ni maspac hari hngkwasan dha do, kiya ka prajing ini ktna ka ttgsa dha laqi dsnaw ni laqi dqrijil da.","在撫養上都由母親負起養育的責任，大約至七、八歲時，才漸區別男性、女性，","https://web.klokah.tw/text/sound/25943/428727.mp3"
"Paah hini dlaqi snaw ga mesupu sneegul tama ni drudan snaw kjiyax, dlaqi qrijil ga mseupu sneegul bubu ni drudan qrijil kjiyax uri, dhuq saw mseejiq balay.","正式在撫養育採取不同的方式，這種時期應是幼兒期之末期；","https://web.klokah.tw/text/sound/25943/428728.mp3"
"Paah hini tgsaun quri Gaya qmpringan alang ka lqlaqi, saw ka kndsan bsaniq, msdadal, msdangi ni kana knkla skeudus babaw dxgal,","自此，男孩常跟父親或男性長輩生活在一起；","https://web.klokah.tw/text/sound/25943/428729.mp3"
"skila nanaq Gaya qmpringan ta Seejiq uri ksun, mqaras teumal meuda ddaun quri dealang Seejiq uri.","女孩則與母親或女性長輩生活在一起，一直於進入成年期。","https://web.klokah.tw/text/sound/25943/429306.mp3"
"Kiya ni egu nanaq kklaun do musa malu bi knudus babaw dni, mrana kana ka lqlaqi uri.","在這一個時期，須施予小孩自己社會群體gaya禁忌、家庭倫理、社會倫理、及生活技能等的智識與技能，","https://web.klokah.tw/text/sound/25943/429307.mp3"
"Kiya ni smulu ta psblaiq kndusan hici ga ida “ttgsa” ka pusu bi, ida asi ka “ttgsa” kiya ka tduwa ta mangal snulu ta.","以適應自己族群的各項活動，謀求生活能力，繁衍子孫，並維持族群間的生存，就得需要「教育」才能完成。","https://web.klokah.tw/text/sound/25943/429308.mp3"
"Mseesu balay ka kndusan dSeejiq sbiyaw, ini knhmuc pgaya pslutuc dealang seejiq uri, pdaan dha utux tmninun kana ka snhian ruwan qbubur,","早期的賽德克族人生活非常保守又單純，部落社會又極度封閉，個人內心世界的釋懷，","https://web.klokah.tw/text/sound/25944/428730.mp3"
"tai saw miyah knan ka dnurun stmaan ni pnrngaw dha tuxan bgihur utux.","皆透過泛神靈的衷心信仰，以求得到依託與解釋。","https://web.klokah.tw/text/sound/25944/431943.mp3"
"Uyas ni Lubu o plmalan dha biyax gnrigan, ida dha pdaun hini kana ka sbgay dha qnrasan ni snpruan dha utux baraw.","歌謠與音樂配合舞蹈的魔力，傳達人對自然界的祖靈，獻上虔敬之心；","https://web.klokah.tw/text/sound/25944/428731.mp3"
"Saw kiya do utux baraw o speuda na qnaras seejiq uri ka knmalu uyas ni grig, ririh saw pnluban dha seejiq.","祖靈也透過人類瘋狂不休的舞韻歌聲，述說祂與人的存在關係。","https://web.klokah.tw/text/sound/25944/428732.mp3"
"Uyas dha o lnmuan dha qnrasan na siida, lxan kari thin tubu nanaq. Saw ka","他們的歌謠皆是即興歌謠，以普通語句配上旋律而已：例如：","https://web.klokah.tw/text/sound/25944/428733.mp3"
"1、Snbarux balay wa balay wa, usarey sarey","下田若有幫手","https://web.klokah.tw/text/sound/25944/428734.mp3"
"2、Yaku balay knii ini klai muwa","向人打聽不懂的事","https://web.klokah.tw/text/sound/25944/428735.mp3"
"3、Meegay ibe Tawe Nawi","祖傳的出草歌","https://web.klokah.tw/text/sound/25944/428736.mp3"
"Kndusan dSeejiq sun ga pndaan slian alang, uxay kiya o mtahu puniq brah bi nganguc rpun, pskingal lnglungan tnsapah.","賽德克族人的日常生活中，呈現其喜怒哀樂的方式，大部份在部落的

廣場、或穀倉場前引火，以凝聚各家族的心緒。","https://web.klokah.tw/text/sound/25944/428737.mp3"
"Miyah teumal ka qbsuran ni pusu bi dqrijil ga plealay meuyas uyas, drudan o sneegul hnang uyas ni rmgrig,","參與其中的首領或重要身份的

婦女，首先會以引唱歌謠（即興式）之後，","https://web.klokah.tw/text/sound/25944/428738.mp3"
"miyah tmquru rmgrig ka sejiqun o, ririh saw seejiq ni utux ga ida nkiya mseupu kingal qbubur kana.","老者隨歌起舞，眾人亦附合成圓形的舞碼，象徵人與自然的祖靈，和諧成渾然一體。","https://web.klokah.tw/text/sound/25944/428739.mp3"
"Msli ka dtubu ni dgrig Seejiq siida, ida dhuq mseupu ka dha utux tuxan, spuun ka hnang seejiq ni utux tuxan do mspian ka nniqan da.","族人的合音樂舞會唱到高點與神靈的生息互為一體，更會把人與靈魂之間的聲韻柔和成生命的夢幻世界，","https://web.klokah.tw/text/sound/25944/428740.mp3"
"Siida hnang lubu qawqaw ga mseupu pqdowriq naqih utux, ida mseupu rmgrig.","此時劃破時空的口簧琴與戰場驅魂的魔笛，亦會隨舞樂起音啟醮。","https://web.klokah.tw/text/sound/25944/428741.mp3"
"Uyas dnii ga ini keegu ka ppyasan dha, pusu balay o pdaan uyas ka lnglungan na siida, ini keegu griq uri, balay bi ga iyux pkmalu seejiq ni utux rdrudan.","這些歌曲其實調子不多，主要是透過歌詞來表達演唱者當時的心情，舞步也不複雜，真正重要的是要表達族人與祖靈的溝通以致和諧氣氛。","https://web.klokah.tw/text/sound/25944/431944.mp3"
"Qrasan mtubu rmgrig ga niqan tru rgrigan klgan lipax hini. Saw ka meuyas uyas, miyuk lubu ni rmgrig.","諸如在他們的樂舞中就有三種基本的形式：歌謠吟唱、樂器吹奏、舞蹈。","https://web.klokah.tw/text/sound/25944/431945.mp3"
"Quri saw qyqaya pyasan ni tubu ga, wana nanaq pgaaw ni lubu qawqaw dha nii.","有關音樂的樂器也只有以獵首笛與口簧琴兩種。","https://web.klokah.tw/text/sound/25944/428743.mp3"
"Uyas smbarux, uyas rmgrig dni ga, lnglungun dha bi ka nniqan lupan lmiqu rdrudan sbiyaw.","「工作歌」、「跳舞歌」即其想念祖先們在獵場工作中分享彼此喜悅的過程與生活的意義，","https://web.klokah.tw/text/sound/25944/428744.mp3"
"Quri saw mseupu pprngaw qrasan dha qmpah ni kndusan dha.","用歌謠與舞蹈傳頌先人在生活、工作情境的心情關係。","https://web.klokah.tw/text/sound/25944/428745.mp3"
"Pdaan dha uyas ni grig ka kndsan rdrudan ni lnglungan qnpahan na. Niqan spac ka uyas dha ppgaya uri, saw ka eeka-ibe, siyo siyo si, ima ki soring wa, ohnay, o yos na ooyos dnii.","在生活中有祭典歌謠四首－（1）eeka-ibe（2）siyo siyo si（3）ima ki soring wa誰是我的朋友？（4）ohonay誰是我的朋友？（5）o yos na oyos分享獵物等歌謠的傳唱。","https://web.klokah.tw/text/sound/25944/428746.mp3"
"Uyas dnii ga rmibaq knslipax quri saw kndusan dseejiq, seejiq ni dealang, seejiq ni ida nkiya, seejiq ni deutux.","由上述歌謠中，都用隱喻的方式呈現對獵場生活中的人與人、人與社會、人與自然、人與utux、人與gaya的縝密關係。","https://web.klokah.tw/text/sound/25944/428747.mp3"
"Saw ka uyas kuorebi enu, ga smnru quri saw seejiq ga pyahi bi ka biyax su ni grebi qbubur kndusan dseejiq.","例如歌謠中kurebi enu就在說明人不可垂頭喪志要奮勇向上，躍舞自己生命的樂章。","https://web.klokah.tw/text/sound/25944/428748.mp3"
"Rnngaw wasaw nii ga gaga rmngaw quri saw wada bi shuya ana mqraqil ka kndusan o mqaras bi pdaun kari ka knudus dha.","Rumeno waso在陳述賽德克族人如何在艱鉅的困境中談笑風生，養成豪邁的企圖心。","https://web.klokah.tw/text/sound/25944/428749.mp3"
"Kika ksun dha balay “mdakil” “prajing” “mdungus” “rahuy” “bsuring” “mradus”dnii kana ka pndkla dha lqlaqi,","更用最美麗的隱喻詞成長啟動、開始躍舞、發展適中、rahuy花樣年華、韻味風華、","https://web.klokah.tw/text/sound/25944/428750.mp3"
"mmbiyax qqrijil bi rsnaw ni rahuy wauwa ni bsuring qqrijil ni mradus ddrudan snaw kana ka pnsnru dha.","圓融成熟暢唸對族人女孩、青年、少婦、熟女、老年婦人的生命歷程的讚嘆。","https://web.klokah.tw/text/sound/25944/428751.mp3"
"Alang Seejiq ksun o mangal bi gaya tnsapah dsnaw, dsnaw ga kiya ka pspruun bi qmita mniq ruwan sapah.","賽德克族是父系社會，男性長輩視家庭中最重要的人物，","https://web.klokah.tw/text/sound/25945/428752.mp3"
"Saw ka quri ddaun lmlamu ruwan sapah, masug qyqaya pnhmaan, lmaun qnpahan,","有關家庭、財產、火耕農事、","https://web.klokah.tw/text/sound/25945/428753.mp3"
"smiyan kndusan, tmsamac lupan, smiyus, tmhangan ni phiyug sapah dnii, ida qmita lnglungan dsnaw kana.","慶典、狩獵、祭祀、命名、建築等事務皆由男性決定，","https://web.klokah.tw/text/sound/25945/428754.mp3"
"Qri sam ddaun pspuhan narux, gmasuc kmaraw, tminun, euda tnsapah ni ttgsa knkla dnii ga ida pdaun qmpah dqrijil kana kiya.","但是，有關部落的醫術治病、播種除草、紡織、家事、教育等就是女性的工作。","https://web.klokah.tw/text/sound/25945/428755.mp3"
"lda ungac sun Towmuoctu ka alang Seejiq balay, ida niqan ka “smdhur balay qbsuran”, ngalan hangan nii o asi ka dsnaw balay.","部落沒有頭目制，而有長老制度，通常都有男性擔任。","https://web.klokah.tw/text/sound/25945/428756.mp3"
"Niqan nanaq gaya pstrung mbiyax rrisaw ni wauwa ka Seejiq balay ksun, nasi saw mstrung o asi ka pdaun gaya tnsapah uri.","賽德克族的結婚方式通常是必須符合家族的規範下，","https://web.klokah.tw/text/sound/25945/428757.mp3"
"Tnsapah dsnaw ni o musa smrai sapah dqrijil, madas hnlmaan, emu nasi psdara babuy do kiya ka phdu kari dni,","男方會以媒人向女方提親備糕甜殺豬見血後結成連禮，","https://web.klokah.tw/text/sound/25945/428758.mp3"
"psrajing qyqaya dsun na sapah dsnaw ka wauwa da, ida niqan ka musa sgru sapah dqrijil ka snaw Seejiq ksun uri.","女方則是備嫁妝回禮，但也有特例是男子入贅到女方家。","https://web.klokah.tw/text/sound/25945/428759.mp3"
"Saw ka dsnaw ga asi ka niqan bi psteura endan na tmsamac ni biyax niya kiya ka tduwa kuxul saan smtama wauwa,","因為具備狩獵與獵首能力的男人才會得到女人的青睞與喜歡，","https://web.klokah.tw/text/sound/25945/428760.mp3"
"dsaw dqrijil o qtaun dha ya mkla balay tminun ni mmkay balay ruwan sapah, kiya ka sdahur bi tnsapah dsnaw.","而具有高超編織技藝與操持家務的女人才會有男人追求。","https://web.klokah.tw/text/sound/25945/428761.mp3"
"Seejiq ga tmhangan dadal o ida mtna kana, ini asug saw dsnaw ni dqrijil.","賽德克族親族名稱的稱呼方式，男女性別的稱呼皆一樣。","https://web.klokah.tw/text/sound/25946/428767.mp3"
"Manu ka dtama ni dbubu, tama ni bubu o slawa tama rudan ni bubu rudan,","父母輩有tama rudan mi bubu rudan及baki mi payi等兩種稱謂。","https://web.klokah.tw/text/sound/25946/428768.mp3"
"nasi saw drdrudan alang o ida slawa “baki ni payi” kida. Drudan tama ni bubu o asi lwani hangan dha. Nasi iyux pkla seejiq “ima ka hiya?” kiya ka rmngaw “qbsuran ni swai tama mu” ni “qbsuran ni swai bubu mu” msa.","對父母親輩沒有專用稱呼，一般直接呼叫名字，但是為了告訴他人「他是誰？」時，就會說：「爸爸的兄或弟」和「媽媽的兄或弟」。","https://web.klokah.tw/text/sound/25946/428769.mp3"
"Nasi saw qrijil qbsuran snaw o slawa “ata”, qrijil swai snaw o slawa “angu” sihaya.","如果是哥哥的太太稱作「ata（嫂子）」；弟弟的太太稱作「angu」，","https://web.klokah.tw/text/sound/25946/428770.mp3"
"Nasi saw mnswai ka qrijil dha o dha snaw nii ga mplawa “mawan”, snaw mnswai qrijil o “anay” ksun mlawa. Niqan ka “msdadal” ni “hrmadal” uri wah!","他們由外人成為自家人的稱謂。若其妻之姊妹時，她們的丈夫互相稱為mawan，姊夫稱為anay。","https://web.klokah.tw/text/sound/25946/428771.mp3"
"Niqan ka “msdadal” ni “hrmadal” uri wah! Quri saw “msdadal” ni “hrmadal” ga mgaya bi,","從兄弟或從姊妹，則依血族或親友之意而稱呼之msdadan；若為從兄妹或從姊弟，則稱為hrmadan。","https://web.klokah.tw/text/sound/25946/437573.mp3"
"ini tduwa mpprngaw quri saw tuhuy ka dqrijil ni dsnaw wah!","在有此關係之血緣同席之場合，絕對禁止一切有關性及情事之談話。","https://web.klokah.tw/text/sound/25946/437574.mp3"
"Kiya ni nasi “msdadal” ni “hrmadal” o ini tduwa mstrung, ida bsaniq ka saw nii.","因此，賽德克族同血緣關係是不可結婚的，否則會觸犯禁忌。","https://web.klokah.tw/text/sound/25946/437575.mp3"
"Nasi pstuq kari ni meytaq qsiya do mkuy pungu nuqih ka dha tnsapah, qmita pungu nuqih ni mpprngaw piya ka babuy?","婚禮中重要的聘禮，是由女方依苧蔴的繩結數論多少豬頭及銅鍋，","https://web.klokah.tw/text/sound/25946/428774.mp3"
"Piya ka tupix sbgay na? Brah mpstrung siida ka snaw o asi ka musa qmpah qnpahan dqrijil, klaan knhnu ka biyax niya?","是由女方依苧蔴的繩結數論多少豬頭及銅鍋，","https://web.klokah.tw/text/sound/25946/433145.mp3"
"Kla meenu ka lnglungan na? Ya pdhuq ka biyax na dmanga tnsapah qrijil na ni lqlaqi na.","而結婚前經過同意後，男方必須到女方家協助農事一個月，目的是要試驗男方的工作態度與能力，能否有能力照顧妻兒。","https://web.klokah.tw/text/sound/25946/428775.mp3"
